participant_code,group,medical_experience,legal_experience,conlang_experience,native_english,item_id,topic,timepoint,probability_assigned_to_a,correct_answer,logit
P1,intervention,0,0,0,1,Surgery_84,Surgery,after,98.0,A,3.8918202981106256
P1,intervention,0,0,0,1,jbo_47,jbo,before,50.0,B,0.0
P1,intervention,0,0,0,1,jbo_47,jbo,intermediate,25.0,B,1.0986122886681098
P1,intervention,0,0,0,1,jbo_47,jbo,after,2.0,B,3.8918202981106256
P1,intervention,0,0,0,1,Surgery_25,Surgery,before,50.0,B,0.0
P1,intervention,0,0,0,1,Surgery_25,Surgery,intermediate,35.0,B,0.6190392084062236
P1,intervention,0,0,0,1,Surgery_25,Surgery,after,1.0,B,4.595119850134589
P1,intervention,0,0,0,1,Surgery_15,Surgery,before,65.0,B,-0.6190392084062235
P1,intervention,0,0,0,1,Surgery_15,Surgery,intermediate,30.0,B,0.8472978603872034
P1,intervention,0,0,0,1,Surgery_15,Surgery,after,5.0,B,2.9444389791664394
P1,intervention,0,0,0,1,Evidence_54,Evidence,before,40.0,B,0.4054651081081642
P1,intervention,0,0,0,1,Evidence_54,Evidence,intermediate,15.0,B,1.7346010553881064
P1,intervention,0,0,0,1,Evidence_54,Evidence,after,3.0,B,3.4760986898352724
P1,intervention,0,0,0,1,Evidence_58,Evidence,before,64.0,A,0.5753641449035619
P1,intervention,0,0,0,1,Evidence_58,Evidence,intermediate,75.0,A,1.0986122886681098
P1,intervention,0,0,0,1,Evidence_58,Evidence,after,96.0,A,3.178053830347945
P1,intervention,0,0,0,1,Evidence_61,Evidence,before,40.0,B,0.4054651081081642
P1,intervention,0,0,0,1,Evidence_61,Evidence,intermediate,30.0,B,0.8472978603872034
P1,intervention,0,0,0,1,Evidence_61,Evidence,after,6.0,B,2.751535313041948
P1,intervention,0,0,0,1,Evidence_19,Evidence,before,60.0,A,0.4054651081081642
P1,intervention,0,0,0,1,Evidence_19,Evidence,intermediate,85.0,A,1.7346010553881064
P1,intervention,0,0,0,1,Evidence_19,Evidence,after,95.0,A,2.9444389791664394
P1,intervention,0,0,0,1,Evidence_36,Evidence,before,40.0,B,0.4054651081081642
P1,intervention,0,0,0,1,Evidence_36,Evidence,intermediate,12.0,B,1.9924301646902063
P1,intervention,0,0,0,1,Evidence_36,Evidence,after,3.0,B,3.4760986898352724
P1,intervention,0,0,0,1,Surgery_225,Surgery,before,30.0,B,0.8472978603872034
P1,intervention,0,0,0,1,Surgery_225,Surgery,intermediate,15.0,B,1.7346010553881064
P1,intervention,0,0,0,1,Surgery_225,Surgery,after,5.0,B,2.9444389791664394
P1,intervention,0,0,0,1,Evidence_21,Evidence,before,44.0,A,-0.2411620568168881
P1,intervention,0,0,0,1,Evidence_21,Evidence,intermediate,30.0,A,-0.8472978603872036
P1,intervention,0,0,0,1,Evidence_21,Evidence,after,87.0,A,1.900958761193047
P1,intervention,0,0,0,1,Contracts_3,Contracts,before,68.0,A,0.7537718023763803
P1,intervention,0,0,0,1,Contracts_3,Contracts,intermediate,71.0,A,0.8953840470548413
P1,intervention,0,0,0,1,Contracts_3,Contracts,after,99.0,A,4.595119850134589
P1,intervention,0,0,0,1,Evidence_64,Evidence,before,40.0,B,0.4054651081081642
P1,intervention,0,0,0,1,Evidence_64,Evidence,intermediate,17.0,B,1.5856272637403817
P1,intervention,0,0,0,1,Evidence_64,Evidence,after,8.0,B,2.442347035369205
P1,intervention,0,0,0,1,Surgery_62,Surgery,before,65.0,A,0.6190392084062236
P1,intervention,0,0,0,1,Surgery_62,Surgery,intermediate,80.0,A,1.3862943611198908
P1,intervention,0,0,0,1,Surgery_62,Surgery,after,93.0,A,2.5866893440979433
P1,intervention,0,0,0,1,jbo_54,jbo,before,50.0,A,0.0
P1,intervention,0,0,0,1,jbo_54,jbo,intermediate,86.0,A,1.815289966638249
P1,intervention,0,0,0,1,jbo_54,jbo,after,99.0,A,4.595119850134589
P1,intervention,0,0,0,1,Contracts_61,Contracts,before,65.0,B,-0.6190392084062235
P1,intervention,0,0,0,1,Contracts_61,Contracts,intermediate,90.0,B,-2.1972245773362196
P1,intervention,0,0,0,1,Contracts_61,Contracts,after,97.0,B,-3.4760986898352724
P1,intervention,0,0,0,1,Contracts_13,Contracts,before,60.0,A,0.4054651081081642
P1,intervention,0,0,0,1,Contracts_13,Contracts,intermediate,71.0,A,0.8953840470548413
P1,intervention,0,0,0,1,Contracts_13,Contracts,after,95.0,A,2.9444389791664394
P1,intervention,0,0,0,1,jbo_30,jbo,before,50.0,A,0.0
P1,intervention,0,0,0,1,jbo_30,jbo,intermediate,60.0,A,0.4054651081081642
P1,intervention,0,0,0,1,jbo_30,jbo,after,93.0,A,2.5866893440979433
P1,intervention,0,0,0,1,Surgery_229,Surgery,before,60.0,A,0.4054651081081642
P1,intervention,0,0,0,1,Surgery_229,Surgery,intermediate,75.0,A,1.0986122886681098
P1,intervention,0,0,0,1,Surgery_229,Surgery,after,87.0,A,1.900958761193047
P1,intervention,0,0,0,1,Contracts_29,Contracts,before,34.0,A,-0.663294217410264
P1,intervention,0,0,0,1,Contracts_29,Contracts,intermediate,20.0,A,-1.3862943611198906
P1,intervention,0,0,0,1,Contracts_29,Contracts,after,7.0,A,-2.5866893440979424
P1,intervention,0,0,0,1,jbo_55,jbo,before,50.0,B,0.0
P1,intervention,0,0,0,1,jbo_55,jbo,intermediate,38.0,B,0.4895482253187058
P1,intervention,0,0,0,1,jbo_55,jbo,after,29.0,B,0.8953840470548413
P1,intervention,0,0,0,1,Contracts_44,Contracts,before,42.0,B,0.32277339226305135
P1,intervention,0,0,0,1,Contracts_44,Contracts,intermediate,20.0,B,1.3862943611198908
P1,intervention,0,0,0,1,Contracts_44,Contracts,after,10.0,B,2.1972245773362196
P1,intervention,0,0,0,1,Evidence_69,Evidence,before,50.0,A,0.0
P1,intervention,0,0,0,1,Evidence_69,Evidence,intermediate,84.0,A,1.6582280766035322
P1,intervention,0,0,0,1,Evidence_69,Evidence,after,97.0,A,3.4760986898352724
P1,intervention,0,0,0,1,Surgery_50,Surgery,before,60.0,A,0.4054651081081642
P1,intervention,0,0,0,1,Surgery_50,Surgery,intermediate,40.0,A,-0.4054651081081643
P1,intervention,0,0,0,1,Surgery_50,Surgery,after,71.0,A,0.8953840470548413
P1,intervention,0,0,0,1,jbo_71,jbo,before,50.0,B,0.0
P1,intervention,0,0,0,1,jbo_71,jbo,intermediate,75.0,B,-1.0986122886681098
P1,intervention,0,0,0,1,jbo_71,jbo,after,88.0,B,-1.9924301646902063
P1,intervention,0,0,0,1,jbo_44,jbo,before,50.0,A,0.0
P1,intervention,0,0,0,1,jbo_44,jbo,intermediate,85.0,A,1.7346010553881064
P1,intervention,0,0,0,1,jbo_44,jbo,after,97.0,A,3.4760986898352724
P1,intervention,0,0,0,1,jbo_45,jbo,before,50.0,B,0.0
P1,intervention,0,0,0,1,jbo_45,jbo,intermediate,40.0,B,0.4054651081081642
P1,intervention,0,0,0,1,jbo_45,jbo,after,10.0,B,2.1972245773362196
P1,intervention,0,0,0,1,Surgery_265,Surgery,before,30.0,B,0.8472978603872034
P1,intervention,0,0,0,1,Surgery_265,Surgery,intermediate,65.0,B,-0.6190392084062235
P1,intervention,0,0,0,1,Surgery_265,Surgery,after,91.0,B,-2.313634929180631
P1,intervention,0,0,0,1,Evidence_51,Evidence,before,70.0,A,0.8472978603872034
P1,intervention,0,0,0,1,Evidence_51,Evidence,intermediate,80.0,A,1.3862943611198908
P1,intervention,0,0,0,1,Evidence_51,Evidence,after,85.0,A,1.7346010553881064
P1,intervention,0,0,0,1,jbo_39,jbo,before,50.0,B,0.0
P1,intervention,0,0,0,1,jbo_39,jbo,intermediate,73.0,B,-0.9946225751440619
P1,intervention,0,0,0,1,jbo_39,jbo,after,85.0,B,-1.7346010553881062
P1,intervention,0,0,0,1,jbo_111,jbo,before,50.0,A,0.0
P1,intervention,0,0,0,1,jbo_111,jbo,intermediate,55.0,A,0.2006706954621514
P1,intervention,0,0,0,1,jbo_111,jbo,after,73.0,A,0.9946225751440619
P1,intervention,0,0,0,1,Surgery_152,Surgery,before,65.0,A,0.6190392084062236
P1,intervention,0,0,0,1,Surgery_152,Surgery,intermediate,86.0,A,1.815289966638249
P1,intervention,0,0,0,1,Surgery_152,Surgery,after,98.0,A,3.8918202981106256
P1,intervention,0,0,0,1,Contracts_36,Contracts,before,50.0,B,0.0
P1,intervention,0,0,0,1,Contracts_36,Contracts,intermediate,40.0,B,0.4054651081081642
P1,intervention,0,0,0,1,Contracts_36,Contracts,after,90.0,B,-2.1972245773362196
P1,intervention,0,0,0,1,jbo_12,jbo,before,50.0,A,0.0
P1,intervention,0,0,0,1,jbo_12,jbo,intermediate,60.0,A,0.4054651081081642
P1,intervention,0,0,0,1,jbo_12,jbo,after,20.0,A,-1.3862943611198906
P1,intervention,0,0,0,1,Contracts_41,Contracts,before,60.0,A,0.4054651081081642
P1,intervention,0,0,0,1,Contracts_41,Contracts,intermediate,75.0,A,1.0986122886681098
P1,intervention,0,0,0,1,Contracts_41,Contracts,after,90.0,A,2.1972245773362196
P1,intervention,0,0,0,1,Contracts_49,Contracts,before,40.0,B,0.4054651081081642
P1,intervention,0,0,0,1,Contracts_49,Contracts,intermediate,15.0,B,1.7346010553881064
P1,intervention,0,0,0,1,Contracts_49,Contracts,after,2.0,B,3.8918202981106256
P1,intervention,0,0,0,1,Contracts_28,Contracts,before,70.0,B,-0.8472978603872034
P1,intervention,0,0,0,1,Contracts_28,Contracts,intermediate,40.0,B,0.4054651081081642
P1,intervention,0,0,0,1,Contracts_28,Contracts,after,3.0,B,3.4760986898352724
P1,intervention,0,0,0,1,Evidence_37,Evidence,before,60.0,B,-0.4054651081081643
P1,intervention,0,0,0,1,Evidence_37,Evidence,intermediate,76.0,B,-1.1526795099383855
P1,intervention,0,0,0,1,Evidence_37,Evidence,after,96.0,B,-3.178053830347945
P2,control,0,0,0,1,Surgery_280,Surgery,before,42.0,B,0.32277339226305135
P2,control,0,0,0,1,Surgery_280,Surgery,intermediate,42.0,B,0.32277339226305135
P2,control,0,0,0,1,Surgery_280,Surgery,after,22.0,B,1.265666373331276
P2,control,0,0,0,1,Contracts_30,Contracts,before,59.0,A,0.3639653772014115
P2,control,0,0,0,1,Contracts_30,Contracts,intermediate,59.0,A,0.3639653772014115
P2,control,0,0,0,1,Contracts_30,Contracts,after,64.0,A,0.5753641449035619
P2,control,0,0,0,1,Contracts_27,Contracts,before,58.0,B,-0.32277339226305085
P2,control,0,0,0,1,Contracts_27,Contracts,intermediate,59.0,B,-0.3639653772014116
P2,control,0,0,0,1,Contracts_27,Contracts,after,35.0,B,0.6190392084062236
P2,control,0,0,0,1,Evidence_53,Evidence,before,22.0,A,-1.2656663733312759
P2,control,0,0,0,1,Evidence_53,Evidence,intermediate,3.0,A,-3.4760986898352733
P2,control,0,0,0,1,Evidence_53,Evidence,after,3.0,A,-3.4760986898352733
P2,control,0,0,0,1,jbo_63,jbo,before,50.0,B,0.0
P2,control,0,0,0,1,jbo_63,jbo,intermediate,45.0,B,0.2006706954621514
P2,control,0,0,0,1,jbo_63,jbo,after,12.0,B,1.9924301646902063
P2,control,0,0,0,1,Surgery_249,Surgery,before,50.0,B,0.0
P2,control,0,0,0,1,Surgery_249,Surgery,intermediate,45.0,B,0.2006706954621514
P2,control,0,0,0,1,Surgery_249,Surgery,after,15.0,B,1.7346010553881064
P2,control,0,0,0,1,Contracts_20,Contracts,before,68.0,A,0.7537718023763803
P2,control,0,0,0,1,Contracts_20,Contracts,intermediate,68.0,A,0.7537718023763803
P2,control,0,0,0,1,Contracts_20,Contracts,after,99.0,A,4.595119850134589
P2,control,0,0,0,1,Surgery_283_flipped,Surgery,before,57.0,A,0.2818511521409875
P2,control,0,0,0,1,Surgery_283_flipped,Surgery,intermediate,46.0,A,-0.16034265007517937
P2,control,0,0,0,1,Surgery_283_flipped,Surgery,after,28.0,A,-0.9444616088408512
P2,control,0,0,0,1,Evidence_9,Evidence,before,40.0,B,0.4054651081081642
P2,control,0,0,0,1,Evidence_9,Evidence,intermediate,40.0,B,0.4054651081081642
P2,control,0,0,0,1,Evidence_9,Evidence,after,21.0,B,1.3249254147435987
P2,control,0,0,0,1,jbo_26,jbo,before,50.0,A,0.0
P2,control,0,0,0,1,jbo_26,jbo,intermediate,44.0,A,-0.2411620568168881
P2,control,0,0,0,1,jbo_26,jbo,after,30.0,A,-0.8472978603872036
P2,control,0,0,0,1,Surgery_84,Surgery,before,40.0,A,-0.4054651081081643
P2,control,0,0,0,1,Surgery_84,Surgery,intermediate,50.0,A,0.0
P2,control,0,0,0,1,Surgery_84,Surgery,after,100.0,A,4.595119850134589
P2,control,0,0,0,1,jbo_47,jbo,before,50.0,B,0.0
P2,control,0,0,0,1,jbo_47,jbo,intermediate,44.0,B,0.24116205681688824
P2,control,0,0,0,1,jbo_47,jbo,after,21.0,B,1.3249254147435987
P2,control,0,0,0,1,Surgery_25,Surgery,before,43.0,B,0.281851152140988
P2,control,0,0,0,1,Surgery_25,Surgery,intermediate,36.0,B,0.5753641449035619
P2,control,0,0,0,1,Surgery_25,Surgery,after,6.0,B,2.751535313041948
P2,control,0,0,0,1,Surgery_15,Surgery,before,50.0,B,0.0
P2,control,0,0,0,1,Surgery_15,Surgery,intermediate,45.0,B,0.2006706954621514
P2,control,0,0,0,1,Surgery_15,Surgery,after,0.0,B,4.595119850134589
P2,control,0,0,0,1,Evidence_54,Evidence,before,34.0,B,0.6632942174102638
P2,control,0,0,0,1,Evidence_54,Evidence,intermediate,34.0,B,0.6632942174102638
P2,control,0,0,0,1,Evidence_54,Evidence,after,0.0,B,4.595119850134589
P2,control,0,0,0,1,Evidence_58,Evidence,before,64.0,A,0.5753641449035619
P2,control,0,0,0,1,Evidence_58,Evidence,intermediate,64.0,A,0.5753641449035619
P2,control,0,0,0,1,Evidence_58,Evidence,after,70.0,A,0.8472978603872034
P2,control,0,0,0,1,Evidence_61,Evidence,before,70.0,B,-0.8472978603872034
P2,control,0,0,0,1,Evidence_61,Evidence,intermediate,46.0,B,0.16034265007517948
P2,control,0,0,0,1,Evidence_61,Evidence,after,39.0,B,0.44731221804366483
P2,control,0,0,0,1,Evidence_19,Evidence,before,43.0,A,-0.2818511521409879
P2,control,0,0,0,1,Evidence_19,Evidence,intermediate,53.0,A,0.12014431184206341
P2,control,0,0,0,1,Evidence_19,Evidence,after,86.0,A,1.815289966638249
P2,control,0,0,0,1,Evidence_36,Evidence,before,37.0,B,0.5322168137473082
P2,control,0,0,0,1,Evidence_36,Evidence,intermediate,37.0,B,0.5322168137473082
P2,control,0,0,0,1,Evidence_36,Evidence,after,26.0,B,1.0459685551826876
P2,control,0,0,0,1,Surgery_225,Surgery,before,50.0,B,0.0
P2,control,0,0,0,1,Surgery_225,Surgery,intermediate,45.0,B,0.2006706954621514
P2,control,0,0,0,1,Surgery_225,Surgery,after,37.0,B,0.5322168137473082
P2,control,0,0,0,1,Evidence_21,Evidence,before,39.0,A,-0.4473122180436648
P2,control,0,0,0,1,Evidence_21,Evidence,intermediate,25.0,A,-1.0986122886681098
P2,control,0,0,0,1,Evidence_21,Evidence,after,0.0,A,-4.59511985013459
P2,control,0,0,0,1,Contracts_3,Contracts,before,68.0,A,0.7537718023763803
P2,control,0,0,0,1,Contracts_3,Contracts,intermediate,68.0,A,0.7537718023763803
P2,control,0,0,0,1,Contracts_3,Contracts,after,87.0,A,1.900958761193047
P2,control,0,0,0,1,Evidence_64,Evidence,before,58.0,B,-0.32277339226305085
P2,control,0,0,0,1,Evidence_64,Evidence,intermediate,31.0,B,0.8001193001121129
P2,control,0,0,0,1,Evidence_64,Evidence,after,3.0,B,3.4760986898352724
P2,control,0,0,0,1,Surgery_62,Surgery,before,50.0,A,0.0
P2,control,0,0,0,1,Surgery_62,Surgery,intermediate,57.0,A,0.2818511521409875
P2,control,0,0,0,1,Surgery_62,Surgery,after,100.0,A,4.595119850134589
P2,control,0,0,0,1,jbo_54,jbo,before,50.0,A,0.0
P2,control,0,0,0,1,jbo_54,jbo,intermediate,68.0,A,0.7537718023763803
P2,control,0,0,0,1,jbo_54,jbo,after,96.0,A,3.178053830347945
P2,control,0,0,0,1,Contracts_61,Contracts,before,69.0,B,-0.8001193001121129
P2,control,0,0,0,1,Contracts_61,Contracts,intermediate,73.0,B,-0.9946225751440619
P2,control,0,0,0,1,Contracts_61,Contracts,after,95.0,B,-2.9444389791664394
P2,control,0,0,0,1,Contracts_13,Contracts,before,69.0,A,0.8001193001121129
P2,control,0,0,0,1,Contracts_13,Contracts,intermediate,69.0,A,0.8001193001121129
P2,control,0,0,0,1,Contracts_13,Contracts,after,84.0,A,1.6582280766035322
P2,control,0,0,0,1,jbo_30,jbo,before,50.0,A,0.0
P2,control,0,0,0,1,jbo_30,jbo,intermediate,56.0,A,0.24116205681688824
P2,control,0,0,0,1,jbo_30,jbo,after,94.0,A,2.751535313041948
P2,control,0,0,0,1,Surgery_229,Surgery,before,38.0,A,-0.4895482253187058
P2,control,0,0,0,1,Surgery_229,Surgery,intermediate,64.0,A,0.5753641449035619
P2,control,0,0,0,1,Surgery_229,Surgery,after,92.0,A,2.442347035369205
P2,control,0,0,0,1,Contracts_29,Contracts,before,65.0,A,0.6190392084062236
P2,control,0,0,0,1,Contracts_29,Contracts,intermediate,50.0,A,0.0
P2,control,0,0,0,1,Contracts_29,Contracts,after,35.0,A,-0.6190392084062235
P2,control,0,0,0,1,jbo_55,jbo,before,50.0,B,0.0
P2,control,0,0,0,1,jbo_55,jbo,intermediate,44.0,B,0.24116205681688824
P2,control,0,0,0,1,jbo_55,jbo,after,10.0,B,2.1972245773362196
P2,control,0,0,0,1,Contracts_44,Contracts,before,31.0,B,0.8001193001121129
P2,control,0,0,0,1,Contracts_44,Contracts,intermediate,24.0,B,1.1526795099383855
P2,control,0,0,0,1,Contracts_44,Contracts,after,0.0,B,4.595119850134589
P2,control,0,0,0,1,Evidence_69,Evidence,before,41.0,A,-0.3639653772014119
P2,control,0,0,0,1,Evidence_69,Evidence,intermediate,61.0,A,0.44731221804366483
P2,control,0,0,0,1,Evidence_69,Evidence,after,82.0,A,1.5163474893680882
P2,control,0,0,0,1,Surgery_50,Surgery,before,42.0,A,-0.3227733922630512
P2,control,0,0,0,1,Surgery_50,Surgery,intermediate,32.0,A,-0.7537718023763801
P2,control,0,0,0,1,Surgery_50,Surgery,after,15.0,A,-1.7346010553881064
P2,control,0,0,0,1,jbo_71,jbo,before,50.0,B,0.0
P2,control,0,0,0,1,jbo_71,jbo,intermediate,60.0,B,-0.4054651081081643
P2,control,0,0,0,1,jbo_71,jbo,after,28.0,B,0.9444616088408513
P2,control,0,0,0,1,jbo_44,jbo,before,50.0,A,0.0
P2,control,0,0,0,1,jbo_44,jbo,intermediate,60.0,A,0.4054651081081642
P2,control,0,0,0,1,jbo_44,jbo,after,92.0,A,2.442347035369205
P2,control,0,0,0,1,jbo_45,jbo,before,50.0,B,0.0
P2,control,0,0,0,1,jbo_45,jbo,intermediate,50.0,B,0.0
P2,control,0,0,0,1,jbo_45,jbo,after,35.0,B,0.6190392084062236
P2,control,0,0,0,1,Surgery_265,Surgery,before,38.0,B,0.4895482253187058
P2,control,0,0,0,1,Surgery_265,Surgery,intermediate,45.0,B,0.2006706954621514
P2,control,0,0,0,1,Surgery_265,Surgery,after,20.0,B,1.3862943611198908
P2,control,0,0,0,1,Evidence_51,Evidence,before,62.0,A,0.4895482253187058
P2,control,0,0,0,1,Evidence_51,Evidence,intermediate,62.0,A,0.4895482253187058
P2,control,0,0,0,1,Evidence_51,Evidence,after,100.0,A,4.595119850134589
P2,control,0,0,0,1,jbo_39,jbo,before,50.0,B,0.0
P2,control,0,0,0,1,jbo_39,jbo,intermediate,56.0,B,-0.24116205681688824
P2,control,0,0,0,1,jbo_39,jbo,after,61.0,B,-0.4473122180436648
P2,control,0,0,0,1,jbo_111,jbo,before,56.0,A,0.24116205681688824
P2,control,0,0,0,1,jbo_111,jbo,intermediate,67.0,A,0.708185057924486
P2,control,0,0,0,1,jbo_111,jbo,after,91.0,A,2.313634929180631
P2,control,0,0,0,1,Surgery_152,Surgery,before,64.0,A,0.5753641449035619
P2,control,0,0,0,1,Surgery_152,Surgery,intermediate,67.0,A,0.708185057924486
P2,control,0,0,0,1,Surgery_152,Surgery,after,94.0,A,2.751535313041948
P2,control,0,0,0,1,Contracts_36,Contracts,before,50.0,B,0.0
P2,control,0,0,0,1,Contracts_36,Contracts,intermediate,55.0,B,-0.20067069546215138
P2,control,0,0,0,1,Contracts_36,Contracts,after,67.0,B,-0.7081850579244859
P2,control,0,0,0,1,jbo_12,jbo,before,50.0,A,0.0
P2,control,0,0,0,1,jbo_12,jbo,intermediate,62.0,A,0.4895482253187058
P2,control,0,0,0,1,jbo_12,jbo,after,71.0,A,0.8953840470548413
P2,control,0,0,0,1,Contracts_41,Contracts,before,59.0,A,0.3639653772014115
P2,control,0,0,0,1,Contracts_41,Contracts,intermediate,65.0,A,0.6190392084062236
P2,control,0,0,0,1,Contracts_41,Contracts,after,80.0,A,1.3862943611198908
P2,control,0,0,0,1,Contracts_49,Contracts,before,25.0,B,1.0986122886681098
P2,control,0,0,0,1,Contracts_49,Contracts,intermediate,21.0,B,1.3249254147435987
P2,control,0,0,0,1,Contracts_49,Contracts,after,0.0,B,4.595119850134589
P2,control,0,0,0,1,Contracts_28,Contracts,before,28.0,B,0.9444616088408513
P2,control,0,0,0,1,Contracts_28,Contracts,intermediate,20.0,B,1.3862943611198908
P2,control,0,0,0,1,Contracts_28,Contracts,after,0.0,B,4.595119850134589
P2,control,0,0,0,1,Evidence_37,Evidence,before,25.0,B,1.0986122886681098
P2,control,0,0,0,1,Evidence_37,Evidence,intermediate,50.0,B,0.0
P2,control,0,0,0,1,Evidence_37,Evidence,after,84.0,B,-1.6582280766035322
P3,control,0,0,0,0,Surgery_280,Surgery,before,35.0,B,0.6190392084062236
P3,control,0,0,0,0,Surgery_280,Surgery,intermediate,10.0,B,2.1972245773362196
P3,control,0,0,0,0,Surgery_280,Surgery,after,0.0,B,4.595119850134589
P3,control,0,0,0,0,Contracts_30,Contracts,before,65.0,A,0.6190392084062236
P3,control,0,0,0,0,Contracts_30,Contracts,intermediate,90.0,A,2.1972245773362196
P3,control,0,0,0,0,Contracts_30,Contracts,after,100.0,A,4.595119850134589
P3,control,0,0,0,0,Contracts_27,Contracts,before,55.0,B,-0.20067069546215138
P3,control,0,0,0,0,Contracts_27,Contracts,intermediate,40.0,B,0.4054651081081642
P3,control,0,0,0,0,Contracts_27,Contracts,after,0.0,B,4.595119850134589
P3,control,0,0,0,0,Evidence_53,Evidence,before,60.0,A,0.4054651081081642
P3,control,0,0,0,0,Evidence_53,Evidence,intermediate,40.0,A,-0.4054651081081643
P3,control,0,0,0,0,Evidence_53,Evidence,after,10.0,A,-2.197224577336219
P3,control,0,0,0,0,jbo_63,jbo,before,50.0,B,0.0
P3,control,0,0,0,0,jbo_63,jbo,intermediate,15.0,B,1.7346010553881064
P3,control,0,0,0,0,jbo_63,jbo,after,5.0,B,2.9444389791664394
P3,control,0,0,0,0,Surgery_249,Surgery,before,60.0,B,-0.4054651081081643
P3,control,0,0,0,0,Surgery_249,Surgery,intermediate,20.0,B,1.3862943611198908
P3,control,0,0,0,0,Surgery_249,Surgery,after,0.0,B,4.595119850134589
P3,control,0,0,0,0,Contracts_20,Contracts,before,80.0,A,1.3862943611198908
P3,control,0,0,0,0,Contracts_20,Contracts,intermediate,90.0,A,2.1972245773362196
P3,control,0,0,0,0,Contracts_20,Contracts,after,100.0,A,4.595119850134589
P3,control,0,0,0,0,Surgery_283_flipped,Surgery,before,30.0,A,-0.8472978603872036
P3,control,0,0,0,0,Surgery_283_flipped,Surgery,intermediate,5.0,A,-2.9444389791664403
P3,control,0,0,0,0,Surgery_283_flipped,Surgery,after,0.0,A,-4.59511985013459
P3,control,0,0,0,0,Evidence_9,Evidence,before,70.0,B,-0.8472978603872034
P3,control,0,0,0,0,Evidence_9,Evidence,intermediate,20.0,B,1.3862943611198908
P3,control,0,0,0,0,Evidence_9,Evidence,after,0.0,B,4.595119850134589
P3,control,0,0,0,0,jbo_26,jbo,before,50.0,A,0.0
P3,control,0,0,0,0,jbo_26,jbo,intermediate,15.0,A,-1.7346010553881064
P3,control,0,0,0,0,jbo_26,jbo,after,0.0,A,-4.59511985013459
P3,control,0,0,0,0,Surgery_84,Surgery,before,60.0,A,0.4054651081081642
P3,control,0,0,0,0,Surgery_84,Surgery,intermediate,75.0,A,1.0986122886681098
P3,control,0,0,0,0,Surgery_84,Surgery,after,100.0,A,4.595119850134589
P3,control,0,0,0,0,jbo_47,jbo,before,50.0,B,0.0
